Date,IBM,TXN,CSCO,QCOM,ORCL,NOK,AMAT
6/17/2009,86.529686,17.4841,15.745733,36.825802,17.998369,10.408026,9.152826
6/18/2009,85.987839,17.418774,15.573506,36.980984,18.278179,10.415053,9.069166
6/19/2009,85.632027,17.688253,15.516103,37.569027,18.648252,10.309637,9.186295
6/22/2009,84.524109,17.124781,15.097857,36.262283,18.02545,9.895002,8.784709
6/23/2009,84.459435,16.830791,15.229073,36.335789,17.935184,10.162055,8.876738
6/24/2009,84.224915,17.132946,15.261877,36.972816,19.189835,10.274498,9.035699
6/25/2009,85.769508,17.435099,15.606315,37.846714,19.523802,10.323691,9.177927
6/26/2009,85.462196,17.516756,15.507902,37.724216,19.171772,10.415053,9.127727
6/29/2009,85.583519,17.394266,15.573506,37.642532,19.406464,10.548578,9.244861
6/30/2009,84.44326,17.394266,15.29468,36.915653,19.334255,10.246387,9.211394
7/1/2009,84.782898,17.639254,15.417694,36.882988,19.623091,10.379914,9.311791
7/2/2009,82.267891,17.394266,15.171666,36.490963,18.991261,10.232332,9.311791
7/6/2009,82.203194,17.475931,15.19627,36.915653,18.657282,10.140972,9.412188
7/7/2009,81.022499,16.961452,14.95844,35.674248,18.214998,9.993391,9.144464
7/8/2009,81.418777,16.675629,14.868233,35.568069,18.567022,9.958252,8.968769
7/9/2009,82.550941,16.691961,14.901038,35.16787,18.341362,10.035557,9.161194
7/10/2009,81.540062,16.700132,15.040448,35.478226,18.494804,9.96528,9.203028
7/13/2009,83.796303,17.026779,15.229073,36.188778,18.748159,10.42208,9.554419
7/14/2009,83.497093,17.230938,15.360294,36.466461,18.666729,10.337748,9.738477
7/15/2009,86.707603,17.876085,16.245985,37.618034,19.462986,11.019435,10.299025
7/16/2009,89.473297,18.243568,16.500214,38.157063,19.580608,9.459286,10.658779
7/17/2009,93.338814,18.790707,16.820045,38.712433,19.671095,9.410092,10.600215
7/20/2009,94.163704,19.280689,17.344908,38.410244,19.462986,9.058705,10.70061
7/21/2009,94.648888,18.83971,17.705742,39.186131,19.843014,9.002485,10.734074
