,AA,AAPL,GE,IBM,JNJ,MSFT,PEP,SPX,XOM
1/7/91 12:00 AM,1873600,11111200,17106000,4757600,5947200,87552000,2463600,130610000,2720800
1/8/91 12:00 AM,1669600,7816400,18344400,6862000,6364000,76438400,2842600,143390000,3522000
1/9/91 12:00 AM,2344800,16692400,27086400,8312000,7755200,115622400,3298600,191100000,5155200
1/10/91 12:00 AM,1387200,15562400,15954000,3848000,5110400,123888000,2046200,124510000,3339200
1/11/91 12:00 AM,1112000,11003200,10494000,2434800,3637600,62006400,1699200,123050000,3326400
1/14/91 12:00 AM,1234400,7535600,16552800,6986000,7477600,58656000,2688800,120830000,3932000
1/15/91 12:00 AM,1652000,6870000,13550400,4672400,3944800,83436800,2197000,110000000,3071200
1/16/91 12:00 AM,1220800,13968800,10546800,6324000,4430400,139913600,3198800,134560000,3163600
1/17/91 12:00 AM,5488000,21137600,46699200,17321600,10970400,163526400,8111400,319080000,5130800
1/18/91 12:00 AM,5096800,33691200,49886400,18370000,17837600,103030400,4906600,226770000,13994400
1/21/91 12:00 AM,1892800,11595200,16681200,8806000,3511200,154512000,2802400,136290000,4528000
1/22/91 12:00 AM,2837600,15296400,14287200,7854800,4637600,113715200,1838400,177060000,3624400
1/23/91 12:00 AM,1975200,8725600,18688800,8844000,5473600,77081600,1589200,168620000,3001200
1/24/91 12:00 AM,2661600,8374400,31964400,11364800,6013600,86083200,3743800,223150000,3546800
1/25/91 12:00 AM,4520000,8012000,28312800,9764400,7132800,86889600,2708600,194350000,5403200
1/28/91 12:00 AM,2288800,9771200,24478800,9913200,4658400,130985600,2541000,141270000,2689200
1/29/91 12:00 AM,2081600,7708800,18824400,7796800,4476000,146979200,2705000,155740000,2506800
1/30/91 12:00 AM,4035200,12043200,19764000,10097200,5816000,148582400,3070200,226790000,5129200
1/31/91 12:00 AM,2855200,8677600,26172000,6873200,6940000,111417600,3190000,204520000,4888800
2/1/91 12:00 AM,4102400,15897600,26803200,7676400,7593600,117878400,3407600,246670000,5361200
2/4/91 12:00 AM,2995200,9569200,20917200,6212400,5949600,88233600,4245200,250750000,9694400
2/5/91 12:00 AM,1433600,12740000,26602800,8708400,6804800,88736000,6209000,290570000,4748000
2/6/91 12:00 AM,5812000,7965200,24645600,9678400,9136000,106348800,6358800,276940000,9976400
2/7/91 12:00 AM,4423200,18587600,31347600,10128000,9384000,133462400,4469400,292190000,10977600
2/8/91 12:00 AM,1777600,11220000,16003200,7006800,5731200,74230400,3262200,187830000,6712000
2/11/91 12:00 AM,6255200,11546400,25801200,7461200,6292800,152336000,4155400,265350000,5036800
2/12/91 12:00 AM,3154400,8042000,28978800,9489600,7832800,96204800,5651600,256160000,7485600
